description,parole_chiave
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
DRIVING OFF ROADWAY WHILE PASSING VEHICLE,driving roadway passing vehicle
POSSESSING FICTITIOUS LIC,possessing fictitious lic
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
OWNER FAILURE TO SURENDER REG EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,owner failure surender reg evidences within 48 hours notice suspension
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving attempting drive motor vehicle highway without required license authorization
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,failing secure child age 8 child safety seat transporting motor vehicle
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGE,failure return remain scene accidentinvolving attended vehdamage
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle highway
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph posted 25 mph zone
EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 70 mph posted 35 mph zone
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING UNREGISTERED TRAILER ON HIGHWAY,driving unregistered trailer highway
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING POSTED MAXIMUM SPEED LIMIT 34 MPH IN A POSTED 25 MPH ZONE,exceeding posted maximum speed limit 34 mph posted 25 mph zone
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,failure display reflect red color light rear lamps reflectors req
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,failure veh driver stop unattended veh damage accident
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,failure veh yield intersection rightofway another veh
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,driving vehicle highway expired license
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph posted 25 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,driving vehicle violation restricted license requirement
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
DRIVING VEHICLE ON HIGHWAY ON EXPIRED LICENSE,driving vehicle highway expired license
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure stop pedestrian crosswalk
EXCEEDING POSTED MAXIMUM SPEED LIMIT 59 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 59 mph posted 40 mph zone
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 64 mph posted 40 mph zone
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILING TO STOP AT RED SIGNAL BEFORE LEFT TURN,driver failing stop red signal left turn
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
FALSIFYINGATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENTPLATE ISSUED BY AD,falsifyingattempt falsify fraudulent intent official documentplate issued ad
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,driving vehicle excess reasonable prudent speed highway speed
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 64 mph posted 55 mph zone
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,driving motor veh without valid medical examiners certificate possession
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph posted 25 mph zone
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,unauthorized display use registration plate
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS CANNOT DRIVE SAFELY,driving veh far impaired drugs drive safely
EXCEEDING POSTED MAXIMUM SPEED LIMIT 34 MPH IN A POSTED 25 MPH ZONE,exceeding posted maximum speed limit 34 mph posted 25 mph zone
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,failing secure child age 8 child safety seat transporting motor vehicle
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle highway
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 45 MPH ZONE,exceeding maximum speed 65 mph posted 45 mph zone
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE TO OTHER PERSON,displaying reg plate issued vehicle person
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED PROPERY OF DAMAGE,failure veh driver accident locate notify owner unattended propery damage
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 76 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 76 mph posted 40 mph zone
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
TRAILER WO REQUIRED STOP LAMPS EQUIPMENT,trailer wo required stop lamps equipment
DRIVER SPINNING WHEELS,driver spinning wheels
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle highway
FRAUDULENTLY APPLYING FOR VEH REG,fraudulently applying veh reg
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,owner failure maintain required security veh reg period
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,driving vehicle highway expired license
DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103,driving lic susp 16203 16206a2 fail attend dip 17106 26204206 27103
DRIVER WRITINGSENDINGREADING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,driver writingsendingreading textelectronic msg oper veh travel portion hwy
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,person driving motor vehicle highway public use property suspended outofstate license
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle highway
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,displaying reg plate issued vehicle
EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 59 mph posted 40 mph zone
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,driving motor veh without valid medical examiners certificate possession
FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEHOF DAMAGE,failure veh driver accident locate notify owner unattended vehof damage
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 17106,driving motor veh lic suspended 17106
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
